IPC,LIBRARY,ENVIRONMENT,AVG_TIME,ITERATIONS
shared_memory,posix,native,0.007102,1432
shared_memory,posix,native,0.004220,100
shared_memory,posix,native,0.004100,100
shared_memory,posix,native,0.004130,100
semaphore,posix,native,0.000192,400
message_queue,posix,native,0.000017,400
message_queue,posix,native,0.000023,400
message_queue,posix,native,0.000023,400
message_queue,posix,native,0.000018,400
message_queue,posix,native,0.000017,400
message_queue,posix,native,0.000019,400
message_queue,posix,native,0.000018,400
message_queue,posix,native,0.000021,400
message_queue,posix,native,0.000017,400
message_queue,posix,native,0.000019,400
message_queue,sysv,native,0.000016,400
message_queue,sysv,native,0.000016,400
message_queue,sysv,native,0.000016,400
message_queue,sysv,native,0.000016,400
message_queue,sysv,native,0.000017,400
message_queue,sysv,native,0.000017,400
message_queue,sysv,native,0.000017,400
message_queue,sysv,native,0.000017,400
message_queue,sysv,native,0.000016,400
message_queue,sysv,native,0.000022,400
semaphore,posix,native,0.000000,400
shared_memory,posix,native,0.008125,400
shared_memory,posix,native,0.007949,400
shared_memory,posix,native,0.006683,400
shared_memory,posix,native,0.006053,400
shared_memory,posix,native,0.005765,400
shared_memory,posix,native,0.005543,400
shared_memory,posix,native,0.005426,400
shared_memory,posix,native,0.005265,400
shared_memory,posix,native,0.005125,400
shared_memory,posix,native,0.005034,400
semaphore,posix,native,0.000000,400
semaphore,sysv,native,0.002292,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,native,0.003936,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
shared_memory,sysv,namespace,0.003844,400
semaphore,posix,native,0.000000,400
shared_memory,posix,namespace,0.004188,400
shared_memory,posix,namespace,0.004206,400
shared_memory,posix,namespace,0.004355,400
shared_memory,posix,namespace,0.004339,400
shared_memory,posix,namespace,0.004376,400
shared_memory,posix,namespace,0.004340,400
shared_memory,posix,namespace,0.004314,400
shared_memory,posix,namespace,0.004323,400
shared_memory,posix,namespace,0.004314,400
shared_memory,posix,namespace,0.004316,400
semaphore,posix,native,0.000000,400
message_queue,posix,namespace,0.000017,400
message_queue,posix,namespace,0.000017,400
message_queue,posix,namespace,0.000017,400
message_queue,posix,namespace,0.000017,400
message_queue,posix,namespace,0.000017,400
message_queue,posix,namespace,0.000018,400
message_queue,posix,namespace,0.000019,400
message_queue,posix,namespace,0.000018,400
message_queue,posix,namespace,0.000017,400
message_queue,posix,namespace,0.000017,400
semaphore,sysv,native,0.002292,400
message_queue,sysv,namespace,0.000019,400
message_queue,sysv,namespace,0.000016,400
message_queue,sysv,namespace,0.000016,400
message_queue,sysv,namespace,0.000018,400
message_queue,sysv,namespace,0.000015,400
message_queue,sysv,namespace,0.000018,400
message_queue,sysv,namespace,0.000017,400
message_queue,sysv,namespace,0.000016,400
message_queue,sysv,namespace,0.000018,400
message_queue,sysv,namespace,0.000024,400
semaphore,posix,native,0.000000,400
semaphore,posix,native,0.000000,400
semaphore,sysv,native,0.002292,400
semaphore,posix,native,0.000000,400
semaphore,posix,namespace,0.000197,400
semaphore,sysv,namespace,0.002023,400
semaphore,posix,native,0.000000,400
semaphore,posix,namespace,0.000000,400
semaphore,posix,native,0.000000,400
semaphore,posix,namespace,0.000000,400
semaphore,sysv,native,0.002292,400
semaphore,posix,namespace,0.000000,400
semaphore,sysv,namespace,0.002023,400
semaphore,sysv,namespace,0.002206,400
semaphore,posix,namespace,0.000000,400
semaphore,posix,namespace,0.000000,400
shared_memory,posix,native,0.004249,213
shared_memory,posix,native,0.004165,213
shared_memory,posix,native,0.004227,213
shared_memory,posix,native,0.004125,40
shared_memory,posix,native,0.004069,40
shared_memory,posix,native,0.004004,40
shared_memory,posix,native,0.004047,40
shared_memory,posix,native,0.004167,40
shared_memory,posix,native,0.004173,40
shared_memory,posix,native,0.004155,40
shared_memory,posix,native,0.004180,40
shared_memory,posix,native,0.004201,40
shared_memory,posix,native,0.004204,40
shared_memory,posix,native,0.004192,40
shared_memory,posix,native,0.004199,40
shared_memory,posix,native,0.004190,40
shared_memory,posix,native,0.004246,40
shared_memory,posix,native,0.004382,40
shared_memory,posix,native,0.004422,40
shared_memory,posix,native,0.004574,40
shared_memory,posix,native,0.004533,40
shared_memory,posix,native,0.004524,40
shared_memory,posix,native,0.004498,40
shared_memory,posix,native,0.004502,40
shared_memory,posix,native,0.004465,40
shared_memory,posix,native,0.004470,40
shared_memory,posix,native,0.004449,40
shared_memory,posix,native,0.004440,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,sysv,native,0.003350,40
shared_memory,posix,native,0.004300,5
